% AIRS Jan04 fast model fitting results over the 48 training
% profiles at 6 angles.  BT is the mean of the 288 (=48*6)
% BTobs spectra, RMS is the RMS of BTobs-BTcal, and amax is
% the maximum absolute value of BTobs-BTcal.
%
% Scott Hannon, 8 January 2004
%
% ID     freq      BT      RMS    amax
%----  --------  ------  ------  ------
  199   706.422  224.22  0.0555  0.3844
  200   706.706  223.45  0.0514  0.3857
  201   706.991  226.99  0.0405  0.2611
  202   707.276  225.06  0.0338  0.2072
  203   707.562  226.14  0.0487  0.2947
  204   707.847  229.32  0.0416  0.2144
  205   708.133  225.10  0.0681  0.4069
  206   708.419  226.49  0.0687  0.3605
  207   708.706  227.53  0.0803  0.4244
  208   708.992  225.28  0.0777  0.3100
  209   709.279  229.93  0.0445  0.2571
  210   709.566  230.60  0.0553  0.3401
  211   709.853  226.62  0.0724  0.3982
  212   710.141  229.72  0.0699  0.2544
  213   710.428  227.28  0.0591  0.2130
  214   710.716  228.41  0.0580  0.2306
  215   711.005  233.76  0.0401  0.1363
  216   711.293  230.00  0.0515  0.3822
  217   711.582  229.45  0.0794  0.3872
  218   711.871  230.65  0.0849  0.2652
  219   712.160  226.86  0.0378  0.1394
  220   712.449  235.44  0.0360  0.1745
  221   712.739  239.26  0.0495  0.2446
  222   713.029  231.60  0.0902  0.5549
  223   713.319  230.81  0.0772  0.4251
  224   713.609  228.17  0.0605  0.3583
  225   713.900  231.05  0.0638  0.2257
  226   714.191  242.02  0.0512  0.2109
  227   714.482  240.09  0.0736  0.3475
  228   714.773  233.11  0.0792  0.4804
  229   715.065  230.69  0.0652  0.2823
  230   715.356  229.25  0.0791  0.3838
  231   715.648  240.00  0.0649  0.2177
  232   715.941  245.56  0.0315  0.1011
  233   716.233  239.70  0.0659  0.3444
  234   716.526  233.23  0.0579  0.3924
  235   716.819  228.99  0.0607  0.2481
  236   717.112  234.69  0.2344  0.7212
  237   717.406  243.10  0.0482  0.1537
  238   717.700  242.41  0.0847  0.2463
  239   717.994  235.33  0.0930  0.5493
  240   718.288  227.58  0.0704  0.3730
  241   718.582  225.26  0.0572  0.2563
  242   718.877  225.18  0.0551  0.2449
  243   719.172  222.82  0.0446  0.2196
  244   719.467  221.20  0.0482  0.2182
  245   719.763  222.09  0.0483  0.2762
  246   720.058  224.71  0.0446  0.1910
  247   720.354  227.90  0.0441  0.2105
  248   720.651  229.80  0.0445  0.1673
  249   720.947  225.83  0.0293  0.0977
  250   721.244  225.79  0.0530  0.2141
  251   721.541  233.99  0.0599  0.2653
  252   721.838  243.63  0.0293  0.1057
  253   722.135  242.24  0.0505  0.1879
  254   722.433  239.36  0.0808  0.3221
  255   722.731  246.94  0.0414  0.1299
  256   723.029  249.35  0.0443  0.1339
  257   723.327  248.83  0.0301  0.1071
  258   723.626  242.17  0.0653  0.2093
