% RMS difference of BT_sarta - BT_kcarta for 206 daytime
% FOVs using ECMWF profiles.  This is an independent
% profile test of sarta; compare with the results
% using the regression profiles (regprof_rms.txt).
%
% ID      freq    RMS
%----  --------  -----
  521   818.174  0.022
  522   818.553  0.020
  523   818.933  0.020
  524   819.312  0.022
  525   819.692  0.021
  526   820.072  0.020
  527   820.453  0.020
  528   820.834  0.021
  529   821.215  0.021
  530   821.596  0.021
  531   821.978  0.020
  532   822.361  0.021
  533   822.743  0.021
  534   823.126  0.021
  535   823.509  0.020
  536   823.893  0.021
  537   824.277  0.021
  538   824.661  0.019
  539   825.046  0.027
  540   825.431  0.025
  541   825.816  0.021
  542   826.202  0.020
  543   826.587  0.021
  544   826.974  0.021
  545   827.360  0.020
  546   827.747  0.024
  547   828.135  0.018
  548   828.522  0.020
  549   828.910  0.020
  550   829.299  0.020
  551   829.687  0.020
  552   830.076  0.020
  553   830.466  0.020
  554   830.856  0.020
  555   831.246  0.020
  556   831.636  0.020
  557   832.027  0.019
  558   832.418  0.019
  559   832.809  0.019
  560   833.201  0.019
  561   833.593  0.019
  562   833.986  0.019
  563   834.379  0.019
  564   834.772  0.019
  565   835.166  0.017
  566   835.559  0.017
  567   835.954  0.017
  568   836.348  0.019
  569   836.743  0.018
  570   837.139  0.018
  571   837.534  0.018
  572   837.930  0.018
  573   838.327  0.018
  574   838.723  0.018
  575   839.120  0.016
  576   839.518  0.018
  577   839.916  0.025
  578   840.314  0.022
  579   840.712  0.015
  580   841.111  0.019
  581   841.510  0.023
  582   841.910  0.019
  583   842.310  0.017
  584   842.710  0.016
  585   843.111  0.016
  586   843.512  0.016
  587   843.913  0.016
  588   844.315  0.015
  589   844.717  0.015
  590   845.119  0.015
  591   845.522  0.016
  592   845.925  0.016
  593   846.329  0.015
  594   846.732  0.015
  595   847.137  0.014
  596   847.541  0.014
  597   847.946  0.014
  598   848.352  0.015
  599   848.757  0.015
  600   849.163  0.011
  601   849.570  0.019
  602   849.977  0.012
  603   850.384  0.015
  604   850.791  0.015
  605   851.199  0.016
  606   851.607  0.016
  607   852.016  0.013
  608   852.425  0.025
  609   851.490  0.016
  610   851.797  0.019
  611   852.104  0.015
  612   852.411  0.025
  613   852.718  0.028
  614   853.026  0.026
  615   853.334  0.015
  616   853.642  0.015
  617   853.950  0.017
  618   854.259  0.021
  619   854.568  0.032
  620   854.877  0.024
  621   855.186  0.015
  622   855.495  0.016
  623   855.805  0.016
  624   856.115  0.016
  625   856.426  0.015
  626   856.736  0.016
  627   857.047  0.016
  628   857.358  0.016
  629   857.669  0.016
  630   857.981  0.016
  631   858.292  0.011
  632   858.604  0.012
  633   858.917  0.011
  634   859.229  0.016
  635   859.542  0.015
  636   859.855  0.015
  637   860.168  0.016
  638   860.482  0.016
  639   860.795  0.016
  640   861.109  0.016
  641   861.424  0.015
  642   861.738  0.016
  643   862.053  0.016
  644   862.368  0.015
  645   862.683  0.015
  646   862.998  0.016
  647   863.314  0.015
  648   863.630  0.015
  649   863.946  0.015
  650   864.263  0.016
  651   864.579  0.012
  652   864.896  0.015
  653   865.214  0.021
  654   865.531  0.023
  655   865.849  0.011
  656   866.167  0.016
  657   866.485  0.016
  658   866.803  0.015
  659   867.122  0.015
  660   867.441  0.015
  661   867.760  0.015
  662   868.080  0.015
  663   868.399  0.015
  664   868.719  0.015
  665   869.040  0.015
  666   869.360  0.015
  667   869.681  0.015
  668   870.002  0.015
  669   870.323  0.015
  670   870.645  0.017
  671   870.966  0.014
  672   871.288  0.020
  673   871.611  0.013
  674   871.933  0.016
  675   872.256  0.015
  676   872.579  0.015
  677   872.902  0.015
  678   873.226  0.015
  679   873.550  0.015
  680   873.874  0.015
  681   874.198  0.015
  682   874.523  0.015
  683   874.847  0.015
  684   875.172  0.014
  685   875.498  0.014
  686   875.823  0.015
  687   876.149  0.015
  688   876.475  0.014
  689   876.802  0.014
  690   877.128  0.015
  691   877.455  0.015
  692   877.783  0.015
  693   878.110  0.011
  694   878.438  0.019
  695   878.766  0.015
  696   879.094  0.013
  697   879.422  0.015
  698   879.751  0.015
  699   880.080  0.014
  700   880.409  0.014
  701   880.739  0.019
  702   881.069  0.015
  703   881.399  0.013
  704   881.729  0.015
  705   882.060  0.015
  706   882.390  0.015
  707   882.721  0.012
  708   883.053  0.013
  709   883.384  0.011
  710   883.716  0.018
  711   884.049  0.017
  712   884.381  0.011
  713   884.714  0.014
  714   885.047  0.014
  715   885.380  0.014
  716   885.713  0.014
  717   886.047  0.014
  718   886.381  0.014
  719   886.715  0.016
  720   887.050  0.014
  721   887.385  0.014
  722   887.720  0.011
  723   888.055  0.013
  724   888.391  0.013
  725   888.727  0.015
  726   889.063  0.010
  727   889.399  0.013
  728   889.736  0.016
  729   890.073  0.014
  730   890.410  0.018
  731   890.748  0.014
  732   891.086  0.011
  733   891.424  0.012
  734   891.762  0.011
  735   892.101  0.011
  736   892.440  0.012
  737   892.779  0.014
  738   893.118  0.013
  739   893.458  0.013
  740   893.798  0.014
  741   894.138  0.013
  742   894.479  0.013
  743   894.820  0.013
  744   895.161  0.012
  745   895.502  0.013
  746   895.844  0.013
  747   896.185  0.015
  748   896.528  0.016
  749   896.870  0.014
  750   897.213  0.014
  751   897.556  0.020
  752   897.899  0.018
  753   898.243  0.014
  754   898.586  0.014
  755   898.931  0.013
  756   899.275  0.013
  757   899.620  0.014
  758   899.965  0.013
  759   900.310  0.012
  760   900.655  0.013
  761   901.001  0.013
  762   901.347  0.013
  763   901.694  0.013
  764   902.040  0.013
  765   902.387  0.013
  766   902.734  0.013
  767   903.082  0.013
