% RMS fitting errors for the 48 training profiles at 6 angles.
% September 2002 "m135f" AIRS-RTA
%
% These errors are the root mean square difference in the BT
% (brightness temperature) computed using the regression
% training data (convolved layer-to-space transmittances),
% and BT computed using the fast model.  For these calculations
% we used surface emissivity=unity and reflectivity=zero.
%
%  ID    freq     RMS
%----  --------  -----
  826   931.554  0.001
  827   931.925  0.002
  828   932.297  0.003
  829   932.669  0.005
  830   933.041  0.005
  831   933.414  0.003
  832   933.787  0.001
  833   934.160  0.001
  834   934.533  0.002
  835   934.907  0.004
  836   935.281  0.002
  837   935.655  0.001
  838   936.030  0.001
  839   936.405  0.002
  840   936.780  0.005
  841   937.156  0.005
  842   937.532  0.004
  843   937.908  0.002
  844   938.285  0.003
  845   938.662  0.006
  846   939.039  0.004
  847   939.416  0.001
  848   939.794  0.001
  849   940.172  0.004
  850   940.550  0.008
  851   940.929  0.011
  852   941.308  0.008
  853   941.688  0.002
  854   942.067  0.005
  855   942.447  0.008
  856   942.827  0.003
  857   943.208  0.001
  858   943.589  0.002
  859   943.970  0.009
  860   944.352  0.010
  861   944.734  0.011
  862   945.116  0.009
  863   945.498  0.003
  864   945.881  0.009
  865   946.264  0.007
  866   946.647  0.002
  867   947.031  0.002
  868   947.415  0.007
  869   947.800  0.013
  870   948.184  0.015
  871   948.569  0.014
  872   948.955  0.003
  873   949.340  0.009
  874   949.726  0.008
  875   950.113  0.002
  876   950.499  0.002
  877   950.886  0.006
  878   951.273  0.008
  879   951.661  0.003
  880   952.049  0.002
  881   952.437  0.003
  882   952.826  0.008
  883   953.214  0.013
  884   953.604  0.012
  885   953.993  0.005
  886   954.383  0.006
  887   954.773  0.007
  888   955.163  0.011
  889   955.554  0.014
  890   955.945  0.009
  891   956.337  0.005
  892   956.729  0.005
  893   957.121  0.005
  894   957.513  0.005
  895   957.906  0.005
  896   958.299  0.007
  897   958.692  0.009
  898   959.086  0.014
  899   959.480  0.011
  900   959.874  0.008
  901   960.269  0.008
  902   960.664  0.009
  903   961.060  0.007
  904   961.455  0.006
  905   961.851  0.006
  906   962.248  0.006
  907   962.644  0.005
  908   963.041  0.005
  909   963.439  0.005
  910   963.836  0.005
  911   964.234  0.005
  912   964.633  0.005
  913   965.031  0.004
  914   965.430  0.006
  915   965.830  0.007
  916   966.229  0.008
  917   966.630  0.010
  918   967.030  0.010
  919   967.431  0.006
  920   967.832  0.007
  921   968.233  0.004
  922   968.635  0.005
  923   969.037  0.008
  924   969.439  0.006
  925   969.842  0.008
  926   970.245  0.009
  927   970.648  0.010
  928   971.052  0.010
  929   971.456  0.012
  930   971.860  0.011
  931   972.265  0.008
  932   972.670  0.009
  933   973.076  0.014
  934   973.481  0.013
  935   973.887  0.014
  936   974.294  0.012
  937   973.818  0.014
  938   974.225  0.013
  939   974.631  0.013
  940   975.039  0.011
  941   975.446  0.013
  942   975.854  0.021
  943   976.262  0.019
  944   976.670  0.012
  945   977.079  0.013
  946   977.488  0.016
  947   977.898  0.017
  948   978.308  0.017
  949   978.718  0.021
  950   979.128  0.022
  951   979.539  0.016
  952   979.950  0.017
  953   980.362  0.023
  954   980.774  0.024
  955   981.186  0.024
  956   981.599  0.028
  957   982.011  0.028
  958   982.425  0.022
  959   982.838  0.024
  960   983.252  0.030
  961   983.667  0.033
  962   984.081  0.031
  963   984.496  0.039
  964   984.912  0.034
  965   985.327  0.027
  966   985.743  0.033
  967   986.160  0.038
  968   986.576  0.037
  969   986.993  0.039
  970   987.411  0.044
  971   987.829  0.040
  972   988.247  0.037
  973   988.665  0.041
  974   989.084  0.050
  975   989.503  0.045
  976   989.923  0.050
  977   990.343  0.056
  978   990.763  0.042
  979   991.183  0.041
  980   991.604  0.044
  981   992.026  0.042
  982   992.447  0.050
  983   992.869  0.044
  984   993.292  0.043
  985   993.714  0.043
  986   994.137  0.041
  987   994.561  0.042
  988   994.984  0.046
  989   995.409  0.046
  990   995.833  0.044
  991   996.258  0.048
  992   996.683  0.045
  993   997.109  0.055
  994   997.535  0.040
  995   997.961  0.055
  996   998.388  0.056
  997   998.814  0.033
  998   999.242  0.052
  999   999.669  0.063
 1000  1000.098  0.049
 1001  1000.526  0.056
 1002  1000.955  0.056
 1003  1001.384  0.045
 1004  1001.813  0.065
 1005  1002.243  0.071
 1006  1002.674  0.058
 1007  1003.104  0.060
 1008  1003.535  0.054
 1009  1003.966  0.052
 1010  1004.398  0.063
 1011  1004.830  0.064
 1012  1005.263  0.059
 1013  1005.695  0.056
 1014  1006.129  0.049
 1015  1006.562  0.058
 1016  1006.996  0.076
 1017  1007.430  0.067
 1018  1007.865  0.055
 1019  1008.300  0.061
 1020  1008.735  0.070
